epoch,reward,error
0,-30.1,2.5865034312755126
1,-34.6,6.019966777316965
2,-33.05,5.352335938634645
3,-34.3,5.550675634551166
4,-36.25,5.646901805415072
5,-35.25,5.0584088407324295
6,-35.85,7.617578355356772
7,-35.4,6.118823416311343
8,-37.65,7.115300415302224
9,-32.45,5.499772722576815
10,-34.3,4.990991885387111
11,-33.35,5.516112761719071
12,-36.9,6.7889616289974715
13,-33.05,4.790354892907206
14,-35.7,7.430343195303969
15,-32.45,5.766064515768099
16,-35.05,6.507495678062337
17,-34.1,5.673623181001714
18,-35.95,5.536018424824832
19,-35.0,5.422176684690384
20,-36.15,7.101232287427302
21,-34.0,5.991660871578097
22,-34.9,7.6609398901179215
23,-36.85,5.424711973920827
24,-32.7,4.473253849269008
25,-37.7,5.933801479658718
26,-33.35,5.424711973920827
27,-35.3,6.157109711544857
28,-35.05,6.614189292725148
29,-34.5,6.674578638386096
30,-36.5,4.043513323831146
31,-34.0,4.147288270665544
32,-35.0,5.531726674375733
33,-33.9,4.12189276910499
34,-32.9,4.836320915737499
35,-34.35,4.829855070289376
36,-33.45,4.821566135603659
37,-33.05,4.984726672546851
38,-32.85,4.315958757912314
39,-36.2,5.035871324805669
40,-31.75,4.515251930955791
41,-32.35,4.373499742768941
42,-33.3,4.970915408654627
43,-34.0,4.135214625627067
44,-35.4,4.943682837723311
45,-35.15,4.41899309798058
46,-33.55,4.271709259769443
47,-33.25,4.403123891057348
48,-33.8,4.044749683231337
49,-33.2,4.610856753359402
50,-34.9,4.6141087980237305
51,-32.55,4.96462485994662
52,-32.7,4.594562003064057
53,-31.35,3.2446109165815242
54,-32.35,5.341114115987412
55,-32.7,4.648655719667783
56,-31.25,3.6996621467371855
57,-32.35,4.350574674683794
58,-31.75,3.973348713616765
59,-30.45,2.6167728216259047
60,-30.95,3.707762128292482
61,-30.1,2.8442925306655784
62,-30.65,3.15079355083763
63,-31.6,3.852272056851645
64,-31.05,3.5422450508117027
65,-30.8,4.342810150121693
66,-32.95,3.185514087239295
67,-31.85,3.6231892028984634
68,-31.05,3.48532638356869
69,-30.65,3.7319565913874184
70,-30.8,3.249615361854384
71,-30.8,3.3406586176980135
72,-30.4,3.5128336140500593
73,-32.5,3.8794329482541645
74,-31.15,3.118894034750138
75,-31.85,4.269367634673781
76,-29.7,3.241913015489466
77,-30.9,2.8792360097775935
78,-31.8,4.354308211415448
79,-32.45,4.14095399636364
80,-32.4,4.758150901348127
81,-32.45,4.554942370656297
82,-30.65,3.8506492958980307
83,-31.35,4.138538389335056
84,-30.35,3.91503512117069
85,-32.95,4.14095399636364
86,-32.25,3.9984371947049513
87,-32.1,3.6041642581880198
88,-30.45,3.9683119837028946
89,-31.9,3.3600595232822887
90,-30.15,3.79835490706174
91,-31.5,3.681032463861192
92,-31.95,3.9556921012636965
93,-31.0,3.987480407475377
94,-30.95,3.8661996844446618
95,-32.85,3.66435533211505
96,-31.7,3.7828560638755473
97,-32.25,3.672533185690771
98,-30.15,3.978379066906521
99,-32.95,3.0409702399069936
