epoch,reward,error
0,-1000.0,0.0
1,-983.95,95.1214355442557
2,-947.92,170.98319683524477
3,-842.8,287.02978939475935
4,-793.28,314.013505442043
5,-786.65,300.5614870538141
6,-647.93,329.9716125668995
7,-641.13,332.74475668295656
8,-608.29,353.1571971516366
9,-573.32,354.4501341514769
10,-458.54,320.59140412681063
11,-422.27,285.10464236837674
12,-361.73,260.1175447754341
13,-378.05,273.0392783099165
14,-297.88,208.26210793132773
15,-384.07,269.1643830450083
16,-350.03,241.04640445358228
17,-363.68,290.8306338747691
18,-281.95,209.93767527530647
19,-285.91,200.84830569362546
20,-300.65,226.45782719967968
21,-276.42,186.96674463657965
22,-281.27,190.37236432843926
23,-246.83,142.22391184326216
24,-249.59,154.53239757410088
25,-286.38,224.1422218146327
26,-291.31,208.07747090927458
27,-248.28,154.33256817664895
28,-282.14,210.23220590575554
29,-257.59,157.8114758184588
30,-259.78,179.80075528206214
31,-290.6,223.4617640671441
32,-278.62,191.340418103442
33,-264.56,161.22173054523387
34,-269.21,164.02013870253856
35,-294.02,217.50057379234661
36,-297.01,210.7890175032845
37,-284.5,192.3019240673374
38,-310.84,229.03670972138943
39,-253.73,160.0063033133382
40,-273.56,196.8538706756867
41,-274.34,187.00166951126397
42,-313.0,241.2342844622215
43,-291.49,206.83106609017906
44,-310.38,231.6390631996253
45,-302.49,209.09359124564293
46,-315.46,229.34286210824177
47,-276.37,185.97713058330586
48,-316.78,236.0699718303876
49,-310.49,210.22571179567925
50,-296.2,177.8392532597908
51,-319.62,221.47396144919605
52,-348.87,262.0488372422209
53,-357.6,256.48270896885026
54,-366.44,269.0014245315441
55,-335.8,229.47230769746488
56,-360.04,237.11473678369296
57,-373.28,266.30835811141935
58,-378.13,261.4869654495229
59,-358.04,249.9014973944734
60,-358.05,250.2339455389696
61,-385.79,265.5160746546243
62,-370.4,258.9556718822741
63,-372.68,271.6734392611835
64,-365.43,252.99775710468268
65,-374.83,255.55301035205986
66,-362.78,268.364996972407
67,-378.77,258.9712669390178
68,-409.66,282.2527314305391
69,-438.64,306.0560902841176
70,-478.96,329.3428584317565
71,-435.6,314.34299737706897
72,-412.24,279.3199999999999
73,-413.21,286.9608089966293
74,-365.61,233.35958926086582
75,-430.22,293.70759540740517
76,-453.43,308.976576943949
77,-445.3,286.60113398240424
78,-383.9,255.78465552100653
79,-414.41,305.62555832259835
80,-470.14,303.61189107147953
81,-437.04,303.2659862233152
82,-435.74,293.27446598706814
83,-444.82,297.32438110588913
84,-458.65,302.1682436987712
85,-479.29,336.1072238140681
86,-446.85,299.75384484606695
87,-459.47,300.7563616949773
88,-439.4,322.5437954759013
89,-430.69,302.0939487973898
90,-413.79,280.9665565507753
91,-391.54,278.22273163780125
92,-458.61,311.3767138049986
93,-453.83,307.28905138322125
94,-427.86,293.1839361220188
95,-395.0,287.2825786573213
96,-451.4,304.2111766520093
97,-470.9,295.84950566123973
98,-366.41,245.12127998197133
99,-419.12,265.90676110245874
