epoch,reward,error
0,0.018987252266154643,0.6071148885194766
1,-0.01486118036086528,1.5963543354003356
2,0.1528658532031874,0.9493371159230742
3,0.37834257559336165,0.6916101310670064
4,0.6452981968653206,1.063618211305827
5,0.6082813601745898,1.258961249450297
6,0.5932525187914033,0.9996291489746892
7,0.6334849738569756,1.1065616273384544
8,0.6138462276532382,0.935098205392209
9,0.6510236525277306,1.0191521929117455
10,0.6727284482786244,1.1101291329167315
11,0.691199615151465,1.0430816887307441
12,0.6731037444819402,1.169239921852367
13,0.8264940196953774,1.0803947659669422
14,0.581928689469412,1.9173622454996513
15,0.48050920109369955,2.607558367893503
16,0.8201164941492506,1.27891683600321
17,1.0289420235710118,1.2973618623571213
18,0.9572622205244353,1.2111681017260594
19,0.8723989131381182,1.2049265270967198
20,1.2535276689876056,1.6602795777804007
21,1.3903907581492125,1.5928687595790054
22,1.2180112871030815,1.5872576310945197
23,1.3882547323706078,1.5922025399796211
24,1.4576191798415965,1.6764151767655942
25,1.667677205118291,1.609649918778555
26,1.6915566059984521,1.542652114948549
27,1.770711051410639,1.6681959481780433
28,1.5820996937155918,1.6989173506540511
29,1.5847839413560192,1.596762829020955
30,1.7710676511202235,1.6492554460044349
31,2.005010898009007,1.5830477431422694
32,1.7644819167375063,1.5905983849288292
33,1.9027244329386712,1.575141969207999
34,1.897140076526789,1.5534075020494575
35,2.041907004839818,1.6807681903978469
36,1.9553189382162974,1.607853505987724
37,2.0269187432759725,1.7080916125107317
38,2.2275759289646375,1.6017715179797765
39,2.201735766553793,1.7066639773047545
40,2.0596217799439858,1.659409452138669
41,2.454526402226668,1.639271949932991
42,2.3871763309879275,1.7795402605407709
43,2.3900139212133173,1.6165731098612641
44,2.3105500804796746,1.582291354836532
45,2.6151688679023692,1.6122055247615161
46,2.385319312775732,1.5016010440507426
47,2.6226956677879087,1.5775522862799685
48,2.4679475808440285,1.6024226330016174
49,2.3284165385828492,1.6694490123433854
50,2.4916881462942326,1.570699033358236
51,2.440302866292432,1.5949141443570598
52,2.48707126819051,1.5935840682446256
53,2.717615144425847,1.5836565382455825
54,2.6329716520089663,1.6269039839416464
55,2.419207394124863,1.707548904693943
56,2.618391353091897,1.5791290767507096
57,2.520194345022471,1.5948538688318479
58,2.42512400164463,1.5971053662401962
59,2.6219531739233735,1.5799660245879432
60,2.695270059654579,1.494832839209638
61,2.547638548033484,1.5662253307825946
62,2.387438645271174,1.5485362668990705
63,2.6740426394284396,1.5275928703705701
64,2.499802693844817,1.694888014456336
65,2.6612091944637837,1.467146457346222
66,2.704404814842341,1.4761821154477774
67,2.6038344769506083,1.5189614959834343
68,2.324300500092191,1.4998783984669932
69,2.623151323164604,1.4930479069141485
70,2.688144941807709,1.5508723997457423
71,2.5436331365065397,1.5898553693722766
72,2.882820009118018,1.5304206466407395
73,2.7542744802760124,1.550603364776491
74,2.6474055906695004,1.6062937822489656
75,2.6992408797089293,1.6035526134795288
76,2.695326887532479,1.6273474205912115
77,2.791439454349145,1.486352237175626
78,2.6852472843467634,1.5240855416692347
79,2.6229888151333953,1.3175509721537717
80,2.7829108284911217,1.4703439407260663
81,2.733201177461064,1.4857586926441306
82,2.6819661347266215,1.5770275792182809
83,2.8024976681819243,1.5668534754022037
84,2.854729411609822,1.546030564459366
85,2.6353581342573875,1.467729250465963
86,2.7017007941788034,1.531698927081303
87,2.788472748290867,1.4871717092104852
88,2.7191696069496727,1.4753674509687003
89,2.7391370976768052,1.512578203029258
90,2.898629798177623,1.4268546765120713
91,2.5208885237432725,1.4475451606666667
92,2.770925453795728,1.6038918765150139
93,2.689504234730933,1.5141980726367477
94,2.7112531226022223,1.4264998542105827
95,2.8376133443466434,1.4261013953130348
96,2.857320577031155,1.4674664508761428
97,2.6448036032846822,2.3393421511296686
98,2.7747919499597327,1.6544989886279509
99,2.7747371739731834,1.4499386164442403
